player,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI_min,FOW%,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,team_start,team_end,shoots,pos,age,country,weight,height_in,pos_multi,handed,signing_team,extension,signing_date,signing_age,clause,length,signing,expiry,exp_year,aav
Mikael Backlund,82,15,24,39,-4,24,0.48,12,34,2,3,1,2,0,2,209,7.2,19.23,50.3,23.45,207,388,305,0.9,7.95,14.91,11.72,825,771,51.69,1657,1578,51.22,1205,1127,51.67,92.77,94.73,49.48,CGY,CGY,L,C,34,Sweden,200,72,False,Left,CGY,True,2018-02-16,29,NMC,6,UFA,unrestricted,2024,5350000
Scott Laughton,82,13,26,39,-9,69,0.48,10,26,1,5,2,8,0,2,167,7.8,15.65,48.9,16.35,166,285,221,0.76,7.76,13.32,10.33,660,686,49.03,1236,1471,45.66,923,1007,47.82,63.03,83.41,43.04,PHI,PHI,L,C,29,Canada,190,73,True,Left,PHI,True,2021-04-12,27,None,5,UFA,unrestricted,2026,3000000
Evan Rodrigues,80,12,27,39,26,34,0.49,9,29,3,10,0,0,0,1,186,6.5,15.17,50.0,19.23,186,373,259,0.95,9.19,18.44,12.81,772,477,61.81,1559,936,62.48,1107,691,61.57,81.56,41.66,66.19,FLA,FLA,R,C,29,Canada,184,71,True,Right,FLA,False,2023-07-02,29,None,4,UFA,unrestricted,2027,3000000
Gustav Forsling,79,10,29,39,56,43,0.49,9,37,1,2,0,0,1,1,160,6.3,22.15,0.0,7.18,160,396,221,0.25,5.49,13.58,7.58,923,882,51.14,1903,1688,52.99,1312,1254,51.13,96.25,94.65,50.42,FLA,FLA,L,D,27,Sweden,186,72,False,Left,FLA,True,2021-07-15,25,None,3,RFA,unrestricted,2024,2666667
Rasmus Andersson,78,9,30,39,-11,47,0.5,8,30,0,8,1,1,1,3,159,5.7,23.83,0.0,9.98,158,338,237,0.33,5.16,11.05,7.75,1001,975,50.66,2044,1990,50.67,1480,1414,51.14,110.46,119.55,48.02,CGY,CGY,R,D,26,Sweden,214,73,False,Right,CGY,True,2020-01-08,23,None,6,RFA,unrestricted,2026,4550000
Cam Fowler,81,5,34,39,-36,24,0.48,3,20,2,18,0,1,0,0,109,4.6,24.42,0.0,5.17,109,256,150,0.16,3.34,7.85,4.59,862,1092,44.11,1701,2155,44.11,1232,1597,43.55,87.92,134.03,39.61,ANA,ANA,L,D,31,Canada,214,74,True,Left,ANA,True,2017-07-01,26,M-NTC,8,UFA,unrestricted,2026,6500000
Torey Krug,77,4,35,39,-31,32,0.51,4,26,0,13,0,0,0,2,162,2.5,21.97,0.0,10.18,162,354,232,0.36,5.75,12.56,8.23,913,888,50.69,1801,1676,51.8,1315,1244,51.39,110.19,97.44,53.07,STL,STL,L,D,32,United States,186,69,False,Left,STL,False,2020-10-09,29,NTC,7,UFA,unrestricted,2027,6500000
Jake Neighbours,77,27,11,38,-16,21,0.49,19,24,8,14,0,0,0,4,145,18.6,15.7,37.9,24.75,145,233,194,1.23,7.19,11.56,9.61,604,626,49.11,1212,1217,49.9,876,891,49.58,75.9,70.22,51.94,STL,STL,L,L,21,Canada,195,72,True,Left,STL,False,2020-10-17,18,None,3,ELC,restricted,2025,863333
Cole Perfetti,71,19,19,38,13,12,0.54,14,27,5,11,0,0,0,3,142,13.4,13.58,37.6,16.17,140,228,184,1.02,8.86,14.44,11.65,542,356,60.36,1045,739,58.58,764,523,59.36,51.49,34.34,59.99,WPG,WPG,L,C,21,Canada,177,70,True,Left,WPG,False,2020-11-09,18,None,3,ELC,restricted,2024,1627500
Tomas Hertl,54,17,21,38,-28,22,0.7,10,26,6,11,1,1,2,2,124,13.7,20.48,57.5,17.39,122,235,175,0.96,6.72,12.95,9.65,542,579,48.35,1173,1200,49.43,804,849,48.64,63.85,70.41,47.56,SJS,VGK,L,C,29,Other,215,74,False,Left,SJS,True,2022-03-16,28,NMC,8,UFA,unrestricted,2030,8137500
James van Riemsdyk,71,11,27,38,7,20,0.54,5,26,6,12,0,0,0,3,142,7.8,13.5,47.6,22.76,140,222,189,1.42,8.76,13.89,11.83,578,398,59.22,1128,826,57.73,824,603,57.74,71.2,36.95,65.84,BOS,BOS,L,L,34,United States,217,75,True,Left,BOS,False,2023-07-01,34,None,1,UFA,unrestricted,2024,1000000
Sean Couturier,74,11,27,38,-10,29,0.51,8,29,3,7,0,2,2,3,192,5.7,17.82,53.5,20.76,192,316,249,0.94,8.74,14.38,11.33,789,533,59.68,1602,1110,59.07,1121,743,60.14,79.64,60.06,57.01,PHI,PHI,L,C,30,United States,211,75,False,Left,PHI,True,2021-08-26,29,NMC,8,UFA,unrestricted,2030,7750000
Jake Sanderson,79,10,28,38,8,23,0.48,7,24,3,14,0,0,1,3,158,6.3,23.22,100.0,9.42,158,355,236,0.31,5.17,11.61,7.72,999,891,52.86,1946,1750,52.65,1419,1235,53.47,105.33,96.75,52.12,OTT,OTT,L,D,20,United States,195,75,False,Left,OTT,False,2022-03-27,18,None,3,ELC,restricted,2024,1850000
Anders Lee,81,20,17,37,2,68,0.46,15,32,5,5,0,0,0,2,185,10.8,15.57,43.2,33.79,185,329,281,1.61,8.8,15.66,13.37,772,603,56.15,1504,1284,53.95,1087,893,54.9,79.68,62.4,56.08,NYI,NYI,L,L,32,United States,231,75,False,Left,NYI,False,2019-07-01,28,NTC,7,UFA,unrestricted,2026,7000000
