Player,Team_start,Team_end,Shoots,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI_min,FOW%
Mikael Backlund,CGY,CGY,L,C,82,15,24,39,-4,24,0.48,12,34,2,3,1,2,0,2,209,7.2,19.23,50.3
Scott Laughton,PHI,PHI,L,C,82,13,26,39,-9,69,0.48,10,26,1,5,2,8,0,2,167,7.8,15.65,48.9
Evan Rodrigues,FLA,FLA,R,C,80,12,27,39,26,34,0.49,9,29,3,10,0,0,0,1,186,6.5,15.17,50.0
Gustav Forsling,FLA,FLA,L,D,79,10,29,39,56,43,0.49,9,37,1,2,0,0,1,1,160,6.3,22.15,0.0
Rasmus Andersson,CGY,CGY,R,D,78,9,30,39,-11,47,0.5,8,30,0,8,1,1,1,3,159,5.7,23.83,0.0
Cam Fowler,ANA,ANA,L,D,81,5,34,39,-36,24,0.48,3,20,2,18,0,1,0,0,109,4.6,24.42,0.0
Torey Krug,STL,STL,L,D,77,4,35,39,-31,32,0.51,4,26,0,13,0,0,0,2,162,2.5,21.97,0.0
Jake Neighbours,STL,STL,L,L,77,27,11,38,-16,21,0.49,19,24,8,14,0,0,0,4,145,18.6,15.7,37.9
Cole Perfetti,WPG,WPG,L,C,71,19,19,38,13,12,0.54,14,27,5,11,0,0,0,3,142,13.4,13.58,37.6
Tomas Hertl,SJS,VGK,L,C,54,17,21,38,-28,22,0.7,10,26,6,11,1,1,2,2,124,13.7,20.48,57.5
James van Riemsdyk,BOS,BOS,L,L,71,11,27,38,7,20,0.54,5,26,6,12,0,0,0,3,142,7.8,13.5,47.6
Sean Couturier,PHI,PHI,L,C,74,11,27,38,-10,29,0.51,8,29,3,7,0,2,2,3,192,5.7,17.82,53.5
Jake Sanderson,OTT,OTT,L,D,79,10,28,38,8,23,0.48,7,24,3,14,0,0,1,3,158,6.3,23.22,100.0
Anders Lee,NYI,NYI,L,L,81,20,17,37,2,68,0.46,15,32,5,5,0,0,0,2,185,10.8,15.57,43.2
Nick Foligno,CHI,CHI,L,L,74,17,20,37,-29,57,0.5,8,20,8,16,1,1,0,0,146,11.6,17.77,52.4
Rickard Rakell,PIT,PIT,R,R,70,15,22,37,4,22,0.53,11,31,4,6,0,0,0,2,165,9.1,16.52,23.1
Matty Beniers,SEA,SEA,L,C,77,15,22,37,-11,20,0.48,9,24,6,13,0,0,0,1,133,11.3,17.97,47.4
Stefan Noesen,CAR,CAR,R,R,81,14,23,37,13,33,0.46,11,26,3,11,0,0,0,3,111,12.6,11.87,42.2
