PLAYER,TEAM,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,W,L,SO,GAA,Sv%,CLAUSE,EXPIRY,CAP HIT,SALARY
1. Nathan MacKinnon,COL,27,C,Right,82,51,89,140,1.71,35,405,0.13,22:48,-,-,-,-,-,NMC,UFA,"$12,600,000","$16,500,000"
2. Connor McDavid,EDM,26,C,Left,76,32,100,132,1.74,35,263,0.12,21:21,-,-,-,-,-,NMC,UFA,"$12,500,000","$11,000,000"
3. Artemi Panarin,NYR,31,LW,Right,82,49,71,120,1.46,18,302,0.16,20:07,-,-,-,-,-,NMC,UFA,"$11,642,857","$11,000,000"
4. Auston Matthews,TOR,25,C,Left,81,69,38,107,1.32,31,369,0.19,20:57,-,-,-,-,-,NMC,UFA,"$11,640,250","$7,975,000"
5. Erik Karlsson,PIT,33,RD,Right,82,11,45,56,0.68,4,213,0.05,24:16,-,-,-,-,-,NMC,UFA,"$11,500,000","$11,500,000"
6. David Pastrnak,BOS,27,RW,Right,82,47,63,110,1.34,21,382,0.12,19:55,-,-,-,-,-,NMC,UFA,"$11,250,000","$13,000,000"
7. Drew Doughty,LAK,33,RD,Right,82,15,35,50,0.61,15,135,0.11,25:47,-,-,-,-,-,M-NTC,UFA,"$11,000,000","$11,000,000"
8. John Tavares,TOR,32,"C, LW",Left,80,29,36,65,0.81,2,279,0.10,17:51,-,-,-,-,-,NMC,UFA,"$11,000,000","$7,950,000"
9. Mitchell Marner,TOR,26,RW,Right,69,26,59,85,1.23,21,158,0.16,21:16,-,-,-,-,-,NMC,UFA,"$10,903,000","$8,025,000"
10. Carey Price,MTL,35,G,Left,0,-,-,-,-,-,-,-,-,0,0,0,0.00,.000,NMC,UFA,"$10,500,000","$8,500,000"
11. Jonathan Huberdeau,CGY,30,"LW, RW",Left,81,12,40,52,0.64,-29,143,0.08,17:25,-,-,-,-,-,NMC,UFA,"$10,500,000","$10,500,000"
12. Aleksander Barkov,FLA,27,C,Left,73,23,57,80,1.10,33,193,0.12,19:38,-,-,-,-,-,NMC,UFA,"$10,000,000","$12,000,000"
13. Anze Kopitar,LAK,35,C,Left,81,26,44,70,0.86,11,133,0.20,19:39,-,-,-,-,-,NMC,UFA,"$10,000,000","$7,000,000"
14. Jack Eichel,VGK,26,C,Right,63,31,37,68,1.08,4,278,0.11,20:31,-,-,-,-,-,NMC,UFA,"$10,000,000","$10,000,000"
15. Sergei Bobrovsky,FLA,34,G,Left,58,-,-,-,-,-,-,-,-,36,17,6,2.37,.915,NMC,UFA,"$10,000,000","$10,000,000"
16. Tyler Seguin,DAL,31,"C, RW",Right,68,25,27,52,0.76,10,154,0.16,16:32,-,-,-,-,-,NMC,UFA,"$9,850,000","$8,450,000"
17. Johnny Gaudreau,CBJ,29,LW,Left,81,12,48,60,0.74,-27,160,0.08,18:48,-,-,-,-,-,NMC,UFA,"$9,750,000","$9,750,000"
18. Zachary Werenski,CBJ,25,LD,Left,70,11,46,57,0.81,0,202,0.05,24:27,-,-,-,-,-,NMC,UFA,"$9,583,333","$12,000,000"
19. Mark Stone,VGK,31,RW,Right,56,16,37,53,0.95,1,117,0.14,19:24,-,-,-,-,-,NMC,UFA,"$9,500,000","$11,000,000"
20. Jamie Benn,DAL,33,"LW, C",Left,82,21,39,60,0.73,8,164,0.13,15:07,-,-,-,-,-,NMC,UFA,"$9,500,000","$6,500,000"
21. Alex Ovechkin,WSH,37,LW,Right,79,31,34,65,0.82,-22,272,0.11,19:13,-,-,-,-,-,"M-NTC, NMC",UFA,"$9,500,000","$12,500,000"
22. Adam Fox,NYR,25,RD,Right,72,17,56,73,1.01,21,137,0.12,23:26,-,-,-,-,-,,UFA,"$9,500,000","$12,000,000"
23. Seth Jones,CHI,28,RD,Right,67,8,23,31,0.46,-15,172,0.05,25:29,-,-,-,-,-,NMC,UFA,"$9,500,000","$12,500,000"
24. Nikita Kucherov,TBL,30,RW,Left,81,44,100,144,1.78,8,306,0.14,21:40,-,-,-,-,-,NMC,UFA,"$9,500,000","$10,000,000"
25. Brayden Point,TBL,27,"C, RW",Right,81,46,44,90,1.11,-16,227,0.20,20:02,-,-,-,-,-,NMC,UFA,"$9,500,000","$11,250,000"
26. Charlie McAvoy,BOS,25,RD,Right,74,12,35,47,0.64,4,133,0.09,24:50,-,-,-,-,-,,UFA,"$9,500,000","$11,000,000"
27. Andrei Vasilevskiy,TBL,28,G,Left,52,-,-,-,-,-,-,-,-,30,20,2,2.90,.900,NMC,UFA,"$9,500,000","$9,000,000"
28. Matthew Tkachuk,FLA,25,RW,Left,80,26,62,88,1.10,19,280,0.09,18:38,-,-,-,-,-,NMC,UFA,"$9,500,000","$11,250,000"
29. Mikko Rantanen,COL,26,"RW, C",Left,80,42,62,104,1.30,19,271,0.16,22:54,-,-,-,-,-,M-NTC,UFA,"$9,250,000","$9,500,000"
30. Darnell Nurse,EDM,28,LD,Left,81,10,22,32,0.40,3,181,0.06,21:53,-,-,-,-,-,NMC,UFA,"$9,250,000","$10,400,000"
31. Nicklas Bäckström,WSH,35,C,Left,8,0,1,1,0.13,-3,12,0.00,14:33,-,-,-,-,-,M-NTC,UFA,"$9,200,000","$10,000,000"
32. Mathew Barzal,NYI,26,"C, RW",Right,80,23,57,80,1.00,-4,240,0.10,20:07,-,-,-,-,-,,UFA,"$9,150,000","$9,150,000"
33. Roman Josi,NSH,33,LD,Left,82,23,62,85,1.04,12,268,0.09,24:37,-,-,-,-,-,NMC,UFA,"$9,059,000","$9,000,000"
34. Jeff Skinner,BUF,31,"LW, RW",Left,74,24,22,46,0.62,-2,211,0.11,15:59,-,-,-,-,-,NMC,UFA,"$9,000,000","$10,000,000"
35. Cale Makar,COL,24,RD,Right,77,21,69,90,1.17,15,231,0.09,24:46,-,-,-,-,-,,UFA,"$9,000,000","$11,000,000"
36. Kirill Kaprizov,MIN,26,LW,Left,75,46,50,96,1.28,11,277,0.17,21:34,-,-,-,-,-,,UFA,"$9,000,000","$12,500,000"
37. Dougie Hamilton,NJD,30,RD,Right,20,5,11,16,0.80,-8,61,0.08,20:58,-,-,-,-,-,NMC,UFA,"$9,000,000","$12,600,000"
38. Timo Meier,NJD,26,"LW, RW",Left,69,28,24,52,0.75,-28,207,0.14,17:36,-,-,-,-,-,,UFA,"$8,800,000","$12,000,000"
39. Alex Pietrangelo,VGK,33,RD,Right,64,4,29,33,0.52,-5,141,0.03,23:33,-,-,-,-,-,NMC,UFA,"$8,800,000","$12,300,000"
40. Sidney Crosby,PIT,35,C,Left,82,42,52,94,1.15,7,278,0.15,20:05,-,-,-,-,-,NMC,UFA,"$8,700,000","$3,000,000"
41. Dylan Larkin,DET,26,C,Left,68,33,36,69,1.01,5,221,0.15,20:10,-,-,-,-,-,NTC,UFA,"$8,700,000","$10,000,000"
42. Patrik Laine,CBJ,25,"C, RW, LW",Right,18,6,3,9,0.50,-10,41,0.15,15:13,-,-,-,-,-,M-NTC,UFA,"$8,700,000","$9,100,000"
43. Mika Zibanejad,NYR,30,C,Right,81,26,46,72,0.89,15,221,0.12,19:44,-,-,-,-,-,NMC,UFA,"$8,500,000","$10,000,000"
44. Pierre-Luc Dubois,LAK,25,C,Left,82,16,24,40,0.49,-9,146,0.11,15:42,-,-,-,-,-,,UFA,"$8,500,000","$9,000,000"
45. Leon Draisaitl,EDM,27,"C, LW",Left,81,41,65,106,1.31,26,217,0.19,20:41,-,-,-,-,-,"M-NTC, NMC",UFA,"$8,500,000","$8,000,000"
46. Filip Forsberg,NSH,28,LW,Right,82,48,46,94,1.15,16,347,0.14,18:54,-,-,-,-,-,NMC,UFA,"$8,500,000","$10,000,000"
47. Bo Horvat,NYI,28,C,Left,81,33,35,68,0.84,-1,248,0.13,19:41,-,-,-,-,-,NTC,UFA,"$8,500,000","$8,500,000"
48. Steven Stamkos,TBL,33,"LW, C",Right,79,40,41,81,1.03,-21,262,0.15,18:13,-,-,-,-,-,NMC,UFA,"$8,500,000","$6,500,000"
49. Mikhail Sergachev,TBL,25,LD/RD,Left,34,2,17,19,0.56,-16,53,0.04,22:33,-,-,-,-,-,,UFA,"$8,500,000","$11,050,000"
50. Sebastian Aho,CAR,25,C,Left,78,36,53,89,1.14,34,216,0.17,19:37,-,-,-,-,-,,UFA,"$8,460,250","$6,025,000"
51. Roope Hintz,DAL,26,C,Left,80,30,35,65,0.81,26,182,0.16,17:14,-,-,-,-,-,,UFA,"$8,450,000","$11,500,000"
52. Miro Heiskanen,DAL,23,LD/RD,Left,71,9,45,54,0.76,8,162,0.06,24:32,-,-,-,-,-,,UFA,"$8,450,000","$10,000,000"
53. Tim Stützle,OTT,21,C,Left,75,18,52,70,0.93,-17,192,0.09,21:07,-,-,-,-,-,,UFA,"$8,350,000","$5,000,000"
54. Jakub Voracek,-,33,"RW, LW",Left,0,0,0,0,0.00,0,0,0.00,,-,-,-,-,-,,UFA,"$8,250,000","$7,500,000"
55. Brady Tkachuk,OTT,23,LW,Left,81,37,37,74,0.91,1,357,0.10,19:08,-,-,-,-,-,,UFA,"$8,205,714","$10,500,000"
56. Tomas Hertl,VGK,29,C,Left,54,17,21,38,0.70,-28,124,0.14,20:29,-,-,-,-,-,NMC,UFA,"$8,137,500","$10,000,000"
57. Jordan Kyrou,STL,25,RW,Right,82,31,36,67,0.82,-12,251,0.12,18:19,-,-,-,-,-,,UFA,"$8,125,000","$9,000,000"
58. Robert Thomas,STL,23,"C, RW",Right,82,26,60,86,1.05,9,170,0.15,20:57,-,-,-,-,-,,UFA,"$8,125,000","$9,000,000"
59. Thomas Chabot,OTT,26,LD,Left,51,9,21,30,0.59,-3,118,0.08,23:02,-,-,-,-,-,,UFA,"$8,000,000","$8,000,000"
60. Ryan Johansen,PHI,30,"C, RW",Right,63,13,10,23,0.37,-6,78,0.17,13:38,-,-,-,-,-,,UFA,"$8,000,000","$8,000,000"
61. Logan Couture,SJS,34,C,Left,6,0,1,1,0.17,0,7,0.00,18:45,-,-,-,-,-,M-NTC,UFA,"$8,000,000","$8,000,000"
62. Brent Burns,CAR,38,RD,Right,82,10,33,43,0.52,19,185,0.05,21:30,-,-,-,-,-,M-NTC,UFA,"$8,000,000","$5,000,000"
63. John Carlson,WSH,33,RD,Right,82,10,42,52,0.63,-7,176,0.06,25:53,-,-,-,-,-,M-NTC,UFA,"$8,000,000","$6,000,000"
64. Jacob Trouba,NYR,29,RD,Right,69,3,19,22,0.32,-4,129,0.02,21:14,-,-,-,-,-,NMC,UFA,"$8,000,000","$8,000,000"
